Fixed camera 0 to avoid gauge freedom
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  6.514872e+03    0.00e+00    2.39e+04   0.00e+00   0.00e+00  1.00e+04        0    5.42e-03    2.70e-02
   1  3.060702e+03    3.45e+03    6.35e+04   0.00e+00   1.20e+00  3.00e+04        1    1.02e-02    3.73e-02
   2  3.066141e+03   -5.44e+00    6.35e+04   3.11e+00  -6.34e-03  1.50e+04        1    3.17e-03    4.05e-02
   3  2.342001e+03    7.19e+02    3.08e+04   1.88e+00   9.22e-01  3.78e+04        1    4.96e-03    4.55e-02
   4  2.851285e+03   -5.09e+02    3.08e+04   3.19e+00  -1.40e+00  1.89e+04        1    3.18e-03    4.87e-02
   5  2.161648e+03    1.80e+02    3.06e+04   1.93e+00   6.08e-01  1.91e+04        1    5.15e-03    5.39e-02
   6  1.993311e+03    1.68e+02    2.22e+04   1.67e+00   7.45e-01  2.16e+04        1    5.05e-03    5.90e-02
   7  1.896956e+03    9.64e+01    1.87e+04   1.58e+00   6.97e-01  2.31e+04        1    5.14e-03    6.42e-02
   8  1.821383e+03    7.56e+01    1.39e+04   1.38e+00   7.73e-01  2.76e+04        1    4.90e-03    6.91e-02
   9  1.774345e+03    4.70e+01    1.16e+04   1.28e+00   7.52e-01  3.16e+04        1    5.17e-03    7.43e-02
  10  1.740450e+03    3.39e+01    8.29e+03   1.09e+00   8.23e-01  4.33e+04        1    4.85e-03    7.92e-02
  11  1.721061e+03    1.94e+01    6.78e+03   9.94e-01   8.02e-01  5.55e+04        1    4.93e-03    8.42e-02
  12  1.708702e+03    1.24e+01    4.15e+03   7.81e-01   8.94e-01  1.09e+05        1    5.02e-03    8.92e-02
  13  1.703231e+03    5.47e+00    3.08e+03   6.75e-01   8.86e-01  2.01e+05        1    5.24e-03    9.45e-02
  14  1.700726e+03    2.51e+00    1.12e+03   4.02e-01   1.05e+00  6.04e+05        1    4.82e-03    9.94e-02
  15  1.700179e+03    5.47e-01    2.71e+02   1.86e-01   1.25e+00  1.81e+06        1    5.04e-03    1.04e-01
  16  1.700035e+03    1.44e-01    4.91e+01   5.63e-02   1.59e+00  5.44e+06        1    4.93e-03    1.09e-01
  17  1.699970e+03    6.55e-02    2.34e+01   1.86e-02   1.74e+00  1.63e+07        1    5.47e-03    1.15e-01
  18  1.699929e+03    4.09e-02    1.66e+01   7.80e-03   1.83e+00  4.89e+07        1    5.12e-03    1.20e-01
  19  1.699901e+03    2.76e-02    1.16e+01   4.11e-03   1.82e+00  1.47e+08        1    5.27e-03    1.25e-01
  20  1.699882e+03    1.98e-02    1.06e+01   2.56e-03   1.89e+00  4.40e+08        1    5.12e-03    1.31e-01
  21  1.699865e+03    1.61e-02    1.01e+01   1.69e-03   1.93e+00  1.32e+09        1    5.36e-03    1.36e-01
  22  1.699852e+03    1.37e-02    1.01e+01   1.25e-03   1.94e+00  3.96e+09        1    5.55e-03    1.42e-01
  23  1.699840e+03    1.20e-02    1.01e+01   1.01e-03   1.95e+00  1.19e+10        1    5.22e-03    1.47e-01
  24  1.699829e+03    1.06e-02    1.01e+01   8.54e-04   1.96e+00  3.57e+10        1    5.33e-03    1.52e-01
  25  1.699820e+03    9.55e-03    1.01e+01   7.48e-04   1.97e+00  1.07e+11        1    5.18e-03    1.57e-01
  26  1.699811e+03    8.54e-03    1.01e+01   6.69e-04   1.95e+00  3.21e+11        1    4.96e-03    1.62e-01
  27  1.699803e+03    7.59e-03    1.01e+01   6.08e-04   1.96e+00  9.63e+11        1    5.01e-03    1.67e-01
  28  1.699797e+03    6.88e-03    1.01e+01   5.56e-04   1.98e+00  2.89e+12        1    4.94e-03    1.72e-01
  29  1.699790e+03    6.39e-03    1.01e+01   5.14e-04   1.99e+00  8.67e+12        1    5.55e-03    1.78e-01
  30  1.699784e+03    5.98e-03    1.02e+01   4.81e-04   1.99e+00  2.60e+13        1    5.32e-03    1.83e-01
  31  1.699779e+03    5.64e-03    1.02e+01   4.50e-04   1.99e+00  7.80e+13        1    5.14e-03    1.89e-01
  32  1.699773e+03    5.33e-03    1.02e+01   4.33e-04   1.99e+00  2.34e+14        1    5.44e-03    1.94e-01
  33  1.699768e+03    4.95e-03    8.35e+00   3.99e-04   1.97e+00  7.02e+14        1    5.56e-03    2.00e-01
  34  1.699766e+03    2.19e-03    3.67e+00   5.14e-04   1.27e+00  2.11e+15        1    5.69e-03    2.05e-01
Ceres Solver Report: Iterations: 35, Initial cost: 6.514872e+03, Final cost: 1.699766e+03, Termination: CONVERGENCE
Bundle adjustment complete.
