Fixed camera 0 to avoid gauge freedom
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  2.435764e+03    0.00e+00    2.42e+04   0.00e+00   0.00e+00  1.00e+04        0    2.17e-03   -1.77e+00
   1  1.025288e+03    1.41e+03    1.71e+04   0.00e+00   1.23e+00  3.00e+04        1    5.48e-03   -1.76e+00
   2  8.086564e+02    2.17e+02    7.34e+03   6.70e+00   1.09e+00  9.00e+04        1    4.40e-03   -1.76e+00
   3  7.611747e+02    4.75e+01    2.67e+03   4.47e+00   1.11e+00  2.70e+05        1    4.41e-03   -1.75e+00
   4  7.533305e+02    7.84e+00    5.36e+02   2.36e+00   1.16e+00  8.10e+05        1    4.34e-03   -1.75e+00
   5  7.522539e+02    1.08e+00    8.17e+01   1.00e+00   1.46e+00  2.43e+06        1    4.36e-03   -1.75e+00
   6  7.517134e+02    5.41e-01    4.16e+01   2.72e-01   1.89e+00  7.29e+06        1    4.34e-03   -1.74e+00
   7  7.512600e+02    4.53e-01    4.52e+01   8.33e-02   1.95e+00  2.19e+07        1    4.80e-03   -1.74e+00
   8  7.508600e+02    4.00e-01    4.66e+01   3.88e-02   1.95e+00  6.56e+07        1    4.40e-03   -1.73e+00
   9  7.505000e+02    3.60e-01    4.77e+01   2.76e-02   1.99e+00  1.97e+08        1    4.40e-03   -1.73e+00
  10  7.501694e+02    3.31e-01    4.86e+01   1.98e-02   1.98e+00  5.90e+08        1    4.84e-03   -1.72e+00
  11  7.498628e+02    3.07e-01    4.95e+01   1.70e-02   1.99e+00  1.77e+09        1    4.33e-03   -1.72e+00
  12  7.495756e+02    2.87e-01    5.02e+01   1.50e-02   2.00e+00  5.31e+09        1    4.26e-03   -1.71e+00
  13  7.493071e+02    2.69e-01    5.09e+01   1.39e-02   1.99e+00  1.59e+10        1    4.44e-03   -1.71e+00
  14  7.490655e+02    2.42e-01    5.16e+01   1.59e-02   1.95e+00  4.78e+10        1    4.07e-03   -1.70e+00
  15  7.488604e+02    2.05e-01    5.22e+01   1.37e-02   1.97e+00  1.43e+11        1    4.41e-03   -1.70e+00
  16  7.486718e+02    1.89e-01    5.28e+01   9.74e-03   1.99e+00  4.30e+11        1    4.18e-03   -1.70e+00
  17  7.484960e+02    1.76e-01    5.34e+01   9.03e-03   1.99e+00  1.29e+12        1    4.50e-03   -1.69e+00
  18  7.483346e+02    1.61e-01    5.39e+01   6.02e-03   1.99e+00  3.87e+12        1    4.50e-03   -1.69e+00
  19  7.481930e+02    1.42e-01    5.45e+01   8.50e-03   1.89e+00  1.16e+13        1    4.29e-03   -1.68e+00
  20  7.480714e+02    1.22e-01    5.49e+01   9.45e-03   1.99e+00  3.49e+13        1    4.14e-03   -1.68e+00
  21  7.479582e+02    1.13e-01    5.54e+01   6.47e-03   1.99e+00  1.05e+14        1    4.37e-03   -1.67e+00
  22  7.478568e+02    1.01e-01    5.58e+01   5.41e-03   1.92e+00  3.14e+14        1    4.33e-03   -1.67e+00
  23  7.477694e+02    8.73e-02    5.50e+01   1.47e-02   1.98e+00  9.41e+14        1    4.18e-03   -1.67e+00
  24  7.476921e+02    7.74e-02    4.83e+01   1.01e-02   1.95e+00  2.82e+15        1    4.21e-03   -1.66e+00
  25  7.476230e+02    6.91e-02    4.76e+01   8.13e-03   1.99e+00  8.47e+15        1    4.22e-03   -1.66e+00
  26  7.475599e+02    6.31e-02    4.16e+01   7.99e-03   1.96e+00  1.00e+16        1    4.30e-03   -1.65e+00
  27  7.475072e+02    5.27e-02    2.55e+01   5.43e-03   1.84e+00  1.00e+16        1    4.17e-03   -1.65e+00
  28  7.474691e+02    3.81e-02    1.74e+01   4.46e-03   1.91e+00  1.00e+16        1    4.15e-03   -1.64e+00
  29  7.474360e+02    3.31e-02    1.63e+01   5.31e-03   1.98e+00  1.00e+16        1    4.09e-03   -1.64e+00
  30  7.474050e+02    3.10e-02    1.56e+01   7.32e-03   2.00e+00  1.00e+16        1    4.23e-03   -1.64e+00
  31  7.473755e+02    2.94e-02    1.54e+01   4.22e-03   2.00e+00  1.00e+16        1    4.05e-03   -1.63e+00
  32  7.473492e+02    2.64e-02    1.53e+01   4.58e-03   1.89e+00  1.00e+16        1    4.27e-03   -1.63e+00
  33  7.473285e+02    2.06e-02    1.50e+01   7.64e-03   1.92e+00  1.00e+16        1    4.07e-03   -1.62e+00
  34  7.473113e+02    1.72e-02    1.38e+01   4.60e-03   1.97e+00  1.00e+16        1    4.18e-03   -1.62e+00
  35  7.472983e+02    1.30e-02    1.20e+01   2.42e-03   1.72e+00  1.00e+16        1    4.22e-03   -1.62e+00
  36  7.472881e+02    1.02e-02    1.21e+01   2.41e-03   2.00e+00  1.00e+16        1    4.57e-03   -1.61e+00
  37  7.472787e+02    9.43e-03    1.22e+01   1.08e-02   1.92e+00  1.00e+16        1    4.38e-03   -1.61e+00
  38  7.472710e+02    7.65e-03    1.23e+01   1.01e-02   1.95e+00  1.00e+16        1    4.42e-03   -1.60e+00
  39  7.472639e+02    7.07e-03    1.24e+01   3.39e-03   2.00e+00  1.00e+16        1    4.37e-03   -1.60e+00
  40  7.472585e+02    5.41e-03    5.51e+00   1.26e-03   1.60e+00  1.00e+16        1    4.43e-03   -1.59e+00
  41  7.472557e+02    2.84e-03    5.51e+00   4.22e-03   1.95e+00  1.00e+16        1    4.33e-03   -1.59e+00
  42  7.472530e+02    2.67e-03    5.51e+00   1.37e-03   2.00e+00  1.00e+16        1    4.19e-03   -1.58e+00
  43  7.472504e+02    2.59e-03    5.51e+00   4.42e-03   2.00e+00  1.00e+16        1    4.57e-03   -1.58e+00
  44  7.472479e+02    2.51e-03    5.51e+00   4.84e-03   2.00e+00  1.00e+16        1    4.44e-03   -1.58e+00
  45  7.472455e+02    2.43e-03    5.29e+00   4.69e-04   2.00e+00  1.00e+16        1    4.15e-03   -1.57e+00
  46  7.472441e+02    1.44e-03    2.71e+00   3.81e-04   1.30e+00  1.00e+16        1    4.43e-03   -1.57e+00
Ceres Solver Report: Iterations: 47, Initial cost: 2.435764e+03, Final cost: 7.472441e+02, Termination: CONVERGENCE
Bundle adjustment complete.
